epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,70.1095,1.01158,1.34012,1.22613,0.97098,0.97572,0.99176,0.85657,0.5265,0.6367,0.75631,0.00199432,0.000664773,0.00199432,0.000664773,0.00199432,0.000664773,0.00199432,0.000664773
2,234.976,0.7477,0.5914,1.03018,0.9896,0.98395,0.99406,0.88523,0.48716,0.40008,0.72899,0.00391523,0.00130508,0.00391523,0.00130508,0.00391523,0.00130508,0.00391523,0.00130508
3,475.703,0.72471,0.53588,1.01896,0.98963,0.98207,0.99406,0.88168,0.50284,0.37533,0.73955,0.00575694,0.00191898,0.00575694,0.00191898,0.00575694,0.00191898,0.00575694,0.00191898
4,705.51,0.73214,0.52838,1.02253,0.98734,0.98683,0.99439,0.88312,0.48883,0.39392,0.72432,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812,0.0056436,0.0018812
5,870.076,0.70997,0.50307,1.01208,0.99253,0.9838,0.99471,0.89548,0.47887,0.3334,0.7253,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416,0.0055248,0.0018416
6,1024.95,0.68757,0.47732,1.00366,0.99008,0.98848,0.99457,0.89768,0.48531,0.32946,0.72012,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802,0.005406,0.001802
7,1186.43,0.67788,0.46817,0.99792,0.99104,0.98889,0.9948,0.89933,0.47191,0.33773,0.72095,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624,0.0052872,0.0017624
8,1354.26,0.65575,0.44867,0.99029,0.9874,0.9893,0.99456,0.90881,0.44768,0.33175,0.71301,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228,0.0051684,0.0017228
9,1533.9,0.64795,0.43853,0.98517,0.98722,0.98518,0.99461,0.899,0.47592,0.35319,0.71548,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832,0.0050496,0.0016832
10,1713.38,0.63557,0.42835,0.98344,0.98272,0.98971,0.9945,0.91226,0.43793,0.34125,0.71094,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436,0.0049308,0.0016436
11,1882.14,0.62318,0.41481,0.98193,0.99148,0.98724,0.99467,0.91881,0.43491,0.30267,0.7072,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
12,2052.04,0.62234,0.41431,0.97816,0.98495,0.99625,0.9948,0.92185,0.42863,0.33566,0.70517,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644,0.0046932,0.0015644
13,2234.25,0.61101,0.40598,0.97744,0.98949,0.98848,0.99468,0.91682,0.41202,0.32525,0.69615,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248,0.0045744,0.0015248
14,2307.07,0.60802,0.40221,0.97065,0.99011,0.98895,0.99474,0.91243,0.44714,0.35368,0.70267,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852,0.0044556,0.0014852
15,2395.53,0.59062,0.38163,0.96104,0.98612,0.99417,0.99465,0.91956,0.43107,0.33565,0.70206,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456,0.0043368,0.0014456
16,2556.79,0.58802,0.37938,0.9625,0.99345,0.98601,0.99475,0.92457,0.42734,0.31661,0.70136,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406,0.004218,0.001406
17,2710.39,0.58194,0.37536,0.95907,0.99037,0.9893,0.9946,0.92507,0.41385,0.30847,0.69245,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664,0.0040992,0.0013664
18,2882.63,0.57889,0.37464,0.95913,0.98965,0.98889,0.99475,0.92114,0.41849,0.30539,0.69352,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268,0.0039804,0.0013268
19,3059.46,0.56938,0.36631,0.95914,0.99378,0.98606,0.99474,0.92796,0.40069,0.30009,0.68999,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872,0.0038616,0.0012872
20,3225.78,0.56962,0.36456,0.96003,0.98648,0.99107,0.99469,0.92587,0.41207,0.30377,0.68556,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476,0.0037428,0.0012476
21,3390.6,0.56488,0.36462,0.95541,0.98687,0.98974,0.99473,0.93419,0.38607,0.29992,0.68,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
22,3565.7,0.54998,0.3465,0.95207,0.98563,0.99547,0.99473,0.93444,0.39146,0.24772,0.68152,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684,0.0035052,0.0011684
